Date,Open,High,Low,Close,Volume
2020-01-02,138.5,140.0,134.5,137.5,8367940
2020-01-03,138.5,139.0,131.0,133.0,8104843
2020-01-06,132.5,134.0,130.0,132.0,4783341
2020-01-07,133.5,134.5,128.0,129.5,6375215
2020-01-08,128.0,130.0,127.0,127.0,4217512
2020-01-09,129.0,133.0,129.0,131.0,6373682
2020-01-10,131.0,131.5,128.5,129.0,3293758
2020-01-13,130.5,134.5,129.5,134.5,6990704
2020-01-14,135.0,136.5,133.0,136.0,7607648
2020-01-15,136.0,136.5,132.0,132.0,5096045
2020-01-16,132.0,135.0,132.0,134.5,2774448
2020-01-17,135.0,136.0,133.0,135.5,4396778
2020-01-20,135.5,136.5,134.5,136.0,3721947
2020-01-30,123.0,124.0,122.5,122.5,6277961
2020-01-31,122.5,122.5,113.5,115.5,12939066
2020-02-03,110.0,114.0,105.5,112.0,11557952
2020-02-04,124.0,124.0,119.5,119.5,9057681
2020-02-05,119.0,120.5,116.0,118.5,6531760
2020-02-06,119.5,121.5,119.0,121.0,4681368
2020-02-07,119.0,120.0,117.5,117.5,3789578
2020-02-10,114.5,120.5,112.5,117.5,5942730
2020-02-11,119.0,121.5,119.0,120.5,3580933
2020-02-12,121.5,128.5,121.0,127.5,9581915
2020-02-13,127.5,130.0,126.5,127.5,5074284
2020-02-14,127.0,129.5,127.0,128.5,2714321
2020-02-17,127.5,131.0,126.5,128.5,5834318
2020-02-18,128.5,129.5,127.0,128.5,3250071
2020-02-19,128.0,129.0,126.5,127.5,3348066
2020-02-20,128.5,131.0,127.5,127.5,3609946
2020-02-21,127.5,129.0,125.0,125.5,3930191
2020-02-24,124.0,127.0,123.5,126.5,2963612
2020-02-25,125.0,128.0,124.0,127.0,2196649
2020-02-26,126.0,129.5,126.0,128.0,3348010
2020-02-27,128.5,129.5,119.0,120.0,4999111
2020-03-02,116.0,121.0,114.5,119.0,4517923
2020-03-03,122.5,126.5,122.0,123.5,4175094
2020-03-04,122.5,124.0,121.0,122.5,2436143
2020-03-05,124.0,125.0,122.5,123.5,3943980
2020-03-06,123.5,127.0,123.0,125.5,4627930
2020-03-09,124.5,125.0,119.0,119.0,5429262
2020-03-10,118.5,126.0,118.0,125.5,5838244
2020-03-11,126.0,126.5,124.5,125.5,4266570
2020-03-12,123.0,123.5,113.5,115.5,9787521
2020-03-13,106.0,109.0,104.0,109.0,8928214
2020-03-16,108.5,110.5,104.5,104.5,4064281
2020-03-17,97.19999694824219,106.0,97.19999694824219,101.0,5420656
2020-03-18,101.5,105.5,100.0,100.0,5210896
2020-03-19,98.5,99.69999694824219,90.0,90.0,6533924
2020-03-20,94.19999694824219,99.0,94.19999694824219,97.5,6004631
2020-03-23,94.0999984741211,96.80000305175781,92.0999984741211,92.5999984741211,4405605
2020-03-24,96.4000015258789,101.0,96.4000015258789,99.5999984741211,4123210
2020-03-25,105.0,107.5,104.0,105.5,6758081
2020-03-26,105.5,107.0,103.0,106.5,4038227
2020-03-27,109.0,110.5,105.0,105.5,4163073
2020-03-30,103.5,108.0,102.5,108.0,2513482
2020-03-31,109.5,111.0,106.0,106.0,3610218
2020-04-01,105.5,107.5,105.0,107.0,2431935
2020-04-06,110.0,114.5,109.0,114.0,8531372
2020-04-07,116.0,118.0,114.5,116.0,5735915
2020-04-08,116.5,118.5,115.5,117.0,4690799
2020-04-09,118.0,118.5,115.0,115.0,2892716
2020-04-10,115.5,117.0,115.0,117.0,2271235
2020-04-13,117.5,119.0,116.0,117.0,2455029
2020-04-14,118.5,120.5,118.0,120.0,2777063
2020-04-15,122.5,124.5,121.0,123.0,4864053
2020-04-16,121.5,125.0,121.0,123.5,4667841
2020-04-17,125.5,126.5,122.0,123.0,4716019
2020-04-20,123.0,125.0,121.0,124.5,2576982
2020-04-21,123.5,125.5,121.0,121.0,3278027
2020-04-22,119.5,122.0,118.5,121.5,2804707
2020-04-23,122.5,123.5,120.5,123.0,2436355
2020-04-24,123.0,123.0,120.5,120.5,2426280
2020-04-27,121.0,122.5,120.5,122.0,2862428
2020-04-28,122.0,124.0,121.0,123.5,3005108
2020-04-29,124.5,125.0,123.5,124.5,3223943
2020-04-30,125.5,130.0,124.5,130.0,6807098
2020-05-04,129.5,133.5,128.0,130.5,9642533
2020-05-05,134.0,138.0,130.0,132.0,14539059
2020-05-06,134.0,135.0,132.0,134.0,6178840
2020-05-07,135.5,139.0,135.5,137.5,6903450
2020-05-08,140.0,147.5,138.0,144.0,13970174
2020-05-11,147.5,149.0,144.0,146.0,8987665
2020-05-12,146.0,147.5,143.0,144.0,6053493
2020-05-13,144.0,148.0,141.5,145.5,7089926
2020-05-14,144.5,145.5,140.5,141.0,4886841
2020-05-15,144.0,144.5,139.0,144.0,4779123
2020-05-18,141.0,142.5,133.0,134.0,12883331
2020-05-19,137.0,138.0,132.5,135.0,5090536
2020-05-20,135.5,136.5,133.5,135.5,2797957
2020-05-21,138.5,148.5,138.0,147.0,14607352
2020-05-22,147.5,148.0,142.0,143.0,6572256
2020-05-25,145.0,150.0,142.5,148.0,8615259
2020-05-26,148.5,155.0,148.0,153.0,11649607
2020-05-27,153.5,155.5,151.5,152.0,6487205
2020-05-28,154.0,154.5,147.5,148.0,5183056
2020-05-29,147.0,151.0,147.0,147.5,2274035
2020-06-01,149.5,151.0,148.0,150.0,2921242
2020-06-02,151.0,152.0,148.0,149.0,3250500
2020-06-03,151.0,152.0,150.0,151.0,2804755
2020-06-04,152.5,153.0,148.5,152.0,3500621
2020-06-05,150.0,150.5,146.5,148.0,3810340
2020-06-08,149.5,150.5,147.5,148.5,3192516
2020-06-09,149.5,153.5,149.0,151.5,4171546
2020-06-10,152.5,155.0,151.5,155.0,3978873
2020-06-11,157.0,159.0,149.0,149.0,6892856
2020-06-12,144.0,150.5,143.0,149.0,4150136
2020-06-15,150.0,153.5,149.0,149.5,2757238
2020-06-16,154.0,159.0,152.5,159.0,9658197
2020-06-17,158.5,160.0,155.0,158.0,7584065
2020-06-18,159.5,165.0,158.5,162.5,7795897
2020-06-19,163.5,164.0,159.0,161.0,4952173
2020-06-22,160.0,161.5,159.0,159.0,3131381
2020-06-23,161.0,161.5,155.0,156.0,3618262
2020-06-24,157.0,158.0,154.0,154.5,4485832
2020-06-29,153.0,161.5,153.0,158.5,7537297
2020-06-30,160.5,161.0,158.0,159.5,3993094
2020-07-01,160.5,161.0,158.5,159.5,5311470
2020-07-02,161.0,164.0,160.5,162.5,5219105
2020-07-03,164.0,167.0,162.0,166.5,6652316
2020-07-06,168.0,169.5,165.5,167.0,5786416
2020-07-07,168.5,169.0,161.0,162.0,6008079
2020-07-08,162.0,163.5,160.0,163.0,4045125
2020-07-09,165.5,165.5,161.5,161.5,4127857
2020-07-10,161.5,161.5,155.5,156.0,4407158
2020-07-13,157.5,159.0,156.5,157.0,2758188
2020-07-14,158.5,168.5,158.5,160.0,14519638
2020-07-15,164.0,164.5,158.5,158.5,5644935
2020-07-16,160.0,160.5,158.0,159.5,2929238
2020-07-17,160.5,161.0,156.0,156.0,2885472
2020-07-20,156.5,161.5,156.0,160.0,3829902
2020-07-21,160.5,165.5,160.0,164.0,5237997
2020-07-22,164.5,166.0,164.0,164.0,3549350
2020-07-23,165.5,176.0,164.0,173.0,13449872
2020-07-24,173.0,173.0,165.5,168.0,6256169
2020-07-27,171.0,172.5,167.5,169.5,3156010
2020-07-28,171.0,175.0,165.5,167.0,4985058
2020-07-29,167.0,170.5,166.0,169.5,2406922
2020-07-30,171.0,174.0,169.0,171.5,2975602
2020-07-31,171.5,179.0,170.5,177.0,6926044
2020-08-03,177.5,181.5,173.0,174.0,8710331
2020-08-04,177.0,183.0,176.5,177.0,6648619
2020-08-05,179.0,182.0,178.0,179.5,3616868
2020-08-06,179.5,180.0,173.0,175.0,5519630
2020-08-07,174.5,174.5,171.0,174.0,3519849
2020-08-10,174.0,174.0,168.5,169.0,4347650
2020-08-11,170.0,172.0,168.0,170.5,3018171
2020-08-12,169.5,171.0,167.0,170.5,2492431
2020-08-13,173.5,173.5,168.5,169.0,1815405
2020-08-14,168.5,171.5,168.0,170.5,1207300
2020-08-17,171.0,171.0,168.0,170.0,2408937
2020-08-18,170.0,171.0,168.0,168.0,1805505
2020-08-19,168.5,171.0,167.0,167.5,2970390
2020-08-20,170.5,174.5,154.0,160.0,10426114
2020-08-21,163.5,172.0,162.0,171.5,5729511
2020-08-24,171.0,173.5,169.0,172.0,3274504
2020-08-25,175.0,179.5,174.0,175.0,5377626
2020-08-26,176.0,178.0,175.0,176.0,2362544
2020-08-27,180.5,183.5,174.0,175.0,6001278
2020-08-28,174.0,175.0,170.5,171.0,3498241
2020-08-31,173.0,173.0,169.0,170.0,2401949
2020-09-01,170.0,172.5,169.0,171.5,1867071
2020-09-02,173.0,174.5,171.0,172.5,2188169
2020-09-03,174.0,175.5,167.0,167.0,4794334
2020-09-04,162.5,169.5,162.0,169.0,3801548
2020-09-07,165.0,168.0,157.0,158.5,7101397
2020-09-08,160.0,160.5,155.0,156.5,4282565
2020-09-09,154.0,156.0,152.0,155.5,4037586
2020-09-10,157.0,159.0,153.0,154.0,3799144
2020-09-11,154.0,154.0,149.0,149.5,4845476
2020-09-14,150.0,156.0,149.5,156.0,4401606
2020-09-15,156.0,158.0,155.0,156.0,2777937
2020-09-16,157.0,158.5,155.5,156.5,3372702
2020-09-17,156.0,158.0,156.0,158.0,2181398
2020-09-18,159.0,160.5,158.0,159.0,2320938
2020-09-21,159.0,159.5,155.0,155.0,1685122
2020-09-22,154.0,156.0,152.0,154.0,1864888
2020-09-23,156.0,157.5,152.0,152.5,1907631
2020-09-24,150.0,153.0,149.5,150.0,2097852
2020-09-25,151.0,151.5,141.0,144.5,5700763
2020-09-28,146.0,146.5,142.0,143.0,2108768
2020-09-29,144.5,146.0,142.5,143.0,2042323
2020-09-30,144.0,147.5,142.0,146.0,1899374
2020-10-05,146.0,149.5,145.5,149.0,1624544
2020-10-06,153.5,156.0,152.0,153.0,4016900
2020-10-07,153.0,153.5,151.5,153.5,1425547
2020-10-08,154.5,155.0,151.5,152.5,1603989
2020-10-12,154.0,155.0,148.5,149.5,2452617
2020-10-13,149.5,150.0,147.5,148.0,1911671
2020-10-14,148.0,149.5,147.0,148.0,1532407
2020-10-15,147.5,151.0,147.0,150.0,1391524
2020-10-16,150.5,151.5,149.0,150.0,1460828
2020-10-19,151.0,157.5,150.5,156.0,6501529
2020-10-20,155.5,157.5,155.0,156.5,3183883
2020-10-21,157.5,158.0,155.0,156.0,1510831
2020-10-22,156.0,156.5,152.0,154.5,2037192
2020-10-23,154.0,155.5,154.0,154.5,829573
2020-10-26,154.5,156.0,153.0,154.0,1081880
2020-10-27,154.5,154.5,152.5,153.5,610857
2020-10-28,153.0,153.5,149.5,150.5,1627757
2020-10-29,145.5,151.5,145.5,151.0,1156039
2020-10-30,151.0,151.0,149.0,150.0,1198150
2020-11-02,151.5,152.0,143.5,146.5,3704586
2020-11-03,147.0,148.0,144.5,145.5,4182075
2020-11-04,146.5,149.0,145.0,148.0,2008776
2020-11-05,148.5,149.0,146.0,147.5,1720905
2020-11-06,148.0,148.5,146.0,146.5,2390337
2020-11-09,148.5,149.5,146.0,147.5,2126593
2020-11-10,148.0,149.0,147.0,147.5,1871112
2020-11-11,148.0,153.0,147.5,152.5,2876812
2020-11-12,152.5,154.5,151.5,153.0,2311501
2020-11-13,152.5,154.0,150.0,153.5,2082583
2020-11-16,156.0,164.5,155.5,163.0,8850243
2020-11-17,168.0,170.0,161.5,162.0,5946903
2020-11-18,161.5,162.5,159.0,160.0,4089135
2020-11-19,160.0,160.0,154.0,155.5,7706425
2020-11-20,155.0,157.0,153.5,156.5,3633530
2020-11-23,157.0,157.5,155.5,156.0,1944129
2020-11-24,156.5,157.5,155.5,156.0,2559909
2020-11-25,156.5,157.5,152.0,152.5,4127541
2020-11-26,152.5,156.0,152.5,155.0,1836514
2020-11-27,155.0,157.5,154.0,157.0,2094468
2020-11-30,158.0,160.0,156.0,156.0,2510977
2020-12-01,157.0,157.5,155.0,157.0,1584264
2020-12-02,158.0,159.0,157.0,158.0,2294107
2020-12-03,159.0,161.5,157.5,159.0,2597774
2020-12-04,159.0,160.0,156.0,157.0,2171551
2020-12-07,158.5,158.5,153.5,154.0,2883118
2020-12-08,155.0,158.0,154.5,156.0,1766706
2020-12-09,157.0,161.0,156.0,161.0,3918075
2020-12-10,161.0,161.5,154.5,155.0,6621570
2020-12-11,156.0,156.5,150.0,153.0,3701659
2020-12-14,153.0,156.0,151.5,155.5,1541954
2020-12-15,154.0,155.5,150.5,150.5,2303425
2020-12-16,153.0,155.0,151.5,154.5,2206430
2020-12-17,154.5,156.0,153.5,154.5,1812806
2020-12-18,155.0,158.0,155.0,155.0,2218598
2020-12-21,155.0,156.5,152.0,156.0,1618800
2020-12-22,155.0,156.5,153.0,153.0,1677749
2020-12-23,154.5,161.0,154.0,157.0,7733667
2020-12-24,159.5,160.0,157.0,157.5,2473100
2020-12-25,159.0,159.0,156.5,157.5,1357719
2020-12-28,158.5,159.0,156.0,157.0,1393513
2020-12-29,157.5,158.0,155.0,156.0,2111173
2020-12-30,157.0,157.0,155.0,155.5,1085002
2020-12-31,155.5,158.0,155.0,157.0,2484204
2021-01-04,157.0,157.5,155.0,156.5,2988709
2021-01-05,157.0,160.5,156.5,159.0,4142587
2021-01-06,161.0,162.5,155.0,155.5,6204674
2021-01-07,157.0,158.0,155.0,157.5,2143770
2021-01-08,158.0,160.0,157.0,159.0,2566080
2021-01-11,160.0,161.0,158.5,161.0,2177651
2021-01-12,162.5,162.5,156.0,157.0,2819338
2021-01-13,157.0,160.0,156.0,159.5,2630305
2021-01-14,159.5,166.0,159.0,165.5,6484195
2021-01-15,167.0,167.5,160.0,161.0,5136821
2021-01-18,160.0,161.0,156.0,159.5,2590970
2021-01-19,160.0,160.5,157.5,158.5,2178323
